(Não Modificar) Conta;(Não Modificar) Soma de Verificação da Linha;(Não Modificar) Data de Modificação;ID da Escola;Nome da Escola;Carteira SAF;Status da Escola;Tipo de Escola;CNPJ;Logradouro Escola;Bairro Escola;CEP Escola;Cidade da Escola;Estado da Escola;Região da Escola;Telefone de Contato da Escola;E-mail da Escola;Razão Social;Nome Fantasia;Status CNPJ;Status Visita Liderança;Performance da Meta;Atual Série;Avançando de Segmento;Cluster;Outro Telefone;Ticket Médio;Toddle
753a3d42-4ef8-ee11-a1fe-002248df22f1;PpF7y1thuVHw8AOtWJgdkyjI42+qHoCfqH/as9ZUVwoCxSP9Tu7BpM9Gs6wrrqftXTgKGnnJj9ulpukYXAjGZg==;08/09/2025 12:51;865;Maple Bear Teixeira De Freitas;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;57140696000179;EST FAZENDA RANCHO NOVO MEXICO;Área Rural de Teixeira de Freitas;45996899;Teixeira de Freitas;BA;Nordeste;1147525404;DIRETORIA@REDEMADEIRA.COM;ESCOLA CANADENSE DE TEIXEIRA DE FREITAS LTDA;;Ativa;Concluído;;;;Implantação;;;
773a3d42-4ef8-ee11-a1fe-002248df22f1;VV3VcHDQxCMhLZ4Jk0aSoZbqKGAN3zNAI76/ppEIIa1GLpxStLkrXJPnni44gO6ZVS3KtM4bxHvK1Rra7aCfJg==;13/05/2025 18:22;848;Maple Bear Goiás - Mineiros;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;54776230000176;Avenida José Umbelino Pio;Setor Parque São José;75831098;Mineiros;GO;Centro-Oeste;6499891970;TELEYDORO@HOTMAIL.COM;ESCOLA CANADENSE DE MINEIROS LTDA;MAPLE BEAR MINEIROS;Ativa;Concluído;;;;Implantação;;;
0949d3b9-d72f-ef11-8e50-002248e0a4a3;qakTZJ+CFv8demIiTPBOOzHs4sAsQqbiTaK2GtxcGsObJddqJn7KFaq/lPvTKb3GBK5if+NJ/jR3uY+zDp3X4w==;14/10/2025 13:59;879;Maple Bear Araruama - Pontinha;ANA PAULA OLIVEIRA DE ANDRADE;Implantando;Franquia;43349961000119;Rua Medeia da Mota;Pontinha;28982020;Araruama;RJ;Sudeste;2288014165;maplebearararuama@gmail.com;ALL INN EDUCATION LTDA;;Ativa;Agendado;;;;Implantação;;;
c6e509cd-b588-f011-b4cb-6045bda6d179;aW8Js/5M7MQgfx/MOm4mEheRVwJB0nmj+rCKXUQmLnVyBf0qTGIpWIf1q9H3FTqEEXq2vfJW/QAToqQGwOOh5g==;07/10/2025 18:17;878;Maple Bear Minas Gerais - Betim;ANA PAULA OLIVEIRA DE ANDRADE;Implantando;Franquia;33908214000381;Rua Antônio Lemos Filho;Angola;32604224;Betim;MG;Sudeste;3198569766;DANIELLE@ACCOUNTASSESSORIA.COM.BR;FARJ EDUCAÇÃO LTDA;MAPLE BEAR BETIM;Ativa;;🔴;;;Implantação;;;
97a4e45a-8c48-f011-877a-000d3a1b93fd;7jwxzM0Gzc8qGULTyu+VTckJfqbySQfbH3244N7INANPSYUGr+P4TGrr+pdlz/8rTDJGIF+qIoCYXsO1fa2PVw==;01/11/2025 08:01;873;Maple Bear Rio de Janeiro - Campo Grande - Itaguaí;TATIANE BARBOSA DOS SANTOS XAVIER;Operando;Franquia;54462771000200;Estrada do Mendanha;Campo Grande;23087285;Rio de Janeiro;RJ;Sudeste;2199836346;alramorim@yahoo.com.br;VANCOUVER MULTI PARTICIPACOES LTDA;MAPLE BEAR CANADIAN SCHOOL - ESCOLA CANADENSE CG;Ativa;Agendado;🔴;;;Implantação;;;
28a78cf8-0c96-ee11-be37-000d3a88970d;ckRN9I4tKZUxWvtkVpTgcgNayKixsN9lLfOxKnd9/jjmK3D/Tkf3lZ3WIZSqU3tUXs/CMsItlr9jIoV7QDvSvw==;27/08/2025 12:52;830;Maple Bear Goiânia - Marista II;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;23431641000104;Rua 1130;Setor Marista;74180090;Goiânia;GO;Centro-Oeste;6230861444;goiania@maplebear.com.br;ESCOLA CANADENSE MARISTA DE GOIANIA LTDA;MAPLE BEAR;Ativa;Agendado;🟢;;Não avança;Alta Performance;;;
27cf7d10-fb95-ee11-be37-000d3a889d88;xpA4pFePFQ/B5d/zKPF29weZ42M7pdXXSLlcBy8+bgHR8zToNQYW670rXrrX6H0r+Z5o0V0Xq3TXFMKlwHMgAg==;01/11/2025 08:01;299;Maple Bear São Roque;Joao Felipe Gutierrez de Freitas;Operando;Franquia;42386857000131;Avenida Varangüera;Jardim Boa Vista;18132340;São Roque;SP;Sudeste;1194228580;OLIVRAF@HOTMAIL.COM;OURS ESCOLA BILINGUE LTDA;MAPLE BEAR SAO ROQUE;Ativa;Concluído;🔴;Year 4;Avanço Year 05;Potente;;2670,25;
7ed07d10-fb95-ee11-be37-000d3a889d88;6dMskuoyT/Podvvx9tA2/pObRPQhTTszxtLSNc68PreZrmNAyWtx32yskl6oT6ca5mG6tr9nCQskS4kbYrXpfw==;01/11/2025 08:01;707;Maple Bear Petrolina - Vila Eduardo I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;46838536000181;Avenida da Integração Airton Sena;Vila Eduardo;56328010;Petrolina;PE;Nordeste;8791659981;PETROLINA@MAPLEBEAR.COM.BR;MAPLE BEAR PETROLINA CENTRO EDUCACIONAL LTDA;PE - Petrolina - Vila Eduardo;Ativa;Concluído;🔴;Year 3;Avanço Year 04;Potente;;2170,94;
12d17d10-fb95-ee11-be37-000d3a889d88;/r1U7ds96vaNwcAEuwuglD0TT8Rz2KhaSLSb2M6h4JjvlJwmrb+0k1VpB7CYmGdzX91gJLPg2GenNSeCfZrTPQ==;01/11/2025 08:01;673;Maple Bear Primavera Do Leste;Joao Felipe Gutierrez de Freitas;Operando;Franquia;48969520000133;Avenida das Nações;PARQUE INDUSTRIAL;78850000;Primavera do Leste;MT;Centro-Oeste;6634983031;clara.manfio@primavera.maplebear.com.br;ESCOLA CANADENSE DE PRIMAVERA DO LESTE LTDA;MT PRIMAVERA DO LESTE;Ativa;Concluído;🔴;SK;Avanço Year 01;Potente;;2500,00;
6d1a7616-fb95-ee11-be37-000d3a889d88;5cO0X85b5pbSR4rT9L4XFtCbJP/8w2W8u6vrL2ISpMxpXuC7JSJhNUjpXiqxvGdaJcxe9RB2nS8orm5MGTOztQ==;01/11/2025 08:01;663;Maple Bear São José Dos Pinhais;RAFHAEL NAZEAZENO PEREIRA;Operando;Franquia;46812063000143;Rua Padre Bittencourt;Centro;83030490;São José dos Pinhais;PR;Sudeste;1391763752;A.LANDEIRO@TERRA.COM.BR;ESCOLA CANADENSE SJP LTDA;MAPLE BEAR SJP;Ativa;Agendado;🔴;SK;Avanço Year 02;Desenvolvimento;;1967,60;
9c1b7616-fb95-ee11-be37-000d3a889d88;UPUY4WlB4HHN76Nq1XPEv2FE5mOtR5dyn1EGv0oKx2VZQQHo4ZWusiaHI4M1f5cFtlG1DoCmZHepDzngVCvKyQ==;01/11/2025 08:01;698;Maple Bear Guarapari - Muquiçaba;TATIANE BARBOSA DOS SANTOS XAVIER;Operando;Franquia;49738334000156;Avenida Governador Jones dos Santos Neves;Muquiçaba;29215002;Guarapari;ES;Sudeste;2730303566;GUARAPARI@MAPLEBEAR.COM.BR;W SCHOOL LTDA;ESCOLA MAPLEBEAR CANADIAN SCHOOL - GUARAPARI;Ativa;Concluído;🔴;Year 4;Avanço Year 05;Desenvolvimento;;1890,00;
3e1c7616-fb95-ee11-be37-000d3a889d88;UuEq3XDqFWs57NWQqQaeW/tvtaZQj+Q3CwAr6LtI+uVyiwtV8IwFvNgwAEAg4LDqiOPYEoU+JhC9BqaEKUAYLA==;01/11/2025 08:01;295;Maple Bear Limeira - Bairro da Graminha;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;42106607000109;Via Guilherme Dibbern;Jardim Florença;13482217;Limeira;SP;Sudeste;1934464926;EMPRESAS@SIDCONTABIL.COM.BR;MB LIMEIRA EDUCACAO INFANTIL LTDA;MAPLE BEAR LIMEIRA;Ativa;Agendado;🔴;Year 2;Avanço Year 03;Alta Performance;;2791,87;
e11c7616-fb95-ee11-be37-000d3a889d88;QuixVV3jO1rtYy80up6yBLa8pRC4MO7mml97TkgVBwQp2m93vgf0mEsAq7lZk4e0tPXcSDN1sXnPQ2Lp2M0Pzw==;01/11/2025 08:01;44;Maple Bear João Pessoa - Bessa I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;14341001000104;Rua Fernando Luiz Henriques Dos Santos;Bessa;58037051;João Pessoa;PB;Nordeste;8330432421;joaopessoa@maplebear.com.br;MB EDUCACAO LTDA;MAPLE BEAR JOAO PESSOA;Ativa;Agendado;🔴;;Não avança;Potente;;2879,95;
fe1c7616-fb95-ee11-be37-000d3a889d88;81xmwTJKJSP5oK2DPED4OFwce8ZGwQExRUpMU6ZreS1Jc3XCM351l1X5hg5grA8mztBEbEpV7KxEzffOnAcwNg==;23/09/2025 21:50;618;Maple Bear João Pessoa - Bessa II;Joao Felipe Gutierrez de Freitas;Operando;Franquia;24948087000191;Rua Norberto De Castro Nogueira;Jardim Oceania;58037603;João Pessoa;PB;Nordeste;8332248910;joaopessoa@maplebear.com.br;MBF EDUCACAO LTDA;MAPLE BEAR JOAO PESSOA - FUNDAMENTAL;Ativa;Agendado;🔴;Year 10;Avanço Year 11;Potente;;3079,87;
1e1d7616-fb95-ee11-be37-000d3a889d88;WKq4FcVBxkZj4UAskI6k+qpJahl6newYCC/t7bKXXFIavurLQINrfsLswalTND/sXDLMurVwKE0jSrI6Iiq4SA==;01/11/2025 08:02;716;Maple Bear Assis - Jardim Morumbi I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;49342319000194;Rua Antonio Zimerman;Jardim Morumbi;19815560;Assis;SP;Sudeste;1833213290;M_CELIASANTOS@HOTMAIL.COM;M C DOS SANTOS ENSINO INTERNACIONAL LTDA;;Ativa;Agendado;🔴;Year 5;Avanço Year 06;Alerta;;1725,00;
571d7616-fb95-ee11-be37-000d3a889d88;hq0QADbzLroOAbDwsaxHMSXeiqFx0fYReAVjt9Jo5T2fMtFX0SJN4AMR5okxhLdEACIK82GzVxWgnZsWHKeXWg==;01/11/2025 08:02;272;Maple Bear Jaguariúna - Chácara Primavera I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;40408151000106;Praça Emílio Marconato;Chácara Primavera;13916140;Jaguariúna;SP;Sudeste;1938474444;TRADICAO@TRADICAONLINE.COM.BR;ESCOLA CANADENSE DE JAGUARIUNA LTDA;MAPLE BEAR JAGUARIUNA;Ativa;Concluído;🔴;Year 1;Avanço Year 02;Potente;;1980,00;
751d7616-fb95-ee11-be37-000d3a889d88;q2TZpyd++mmCBJG+RlP708zKDrkOGg9NqHi7pNYSBq+TrjFu4iwcBZRkjwSWsRm80Acaug5y9HfBDoq1xptMqA==;01/11/2025 08:02;6;Maple Bear Rio Branco - Aviário I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;21497244000100;Rua Santa Inês;Aviário;69900878;Rio Branco;AC;Norte;6999613457;ANDRADEFABIO@OUTLOOK.COM;ANDRADE & HASSEM LTDA;MAPLE BEAR RIO BRANCO;Ativa;Agendado;🔴;Year 9;Avanço Year 09;Alerta;;2178,04;
931d7616-fb95-ee11-be37-000d3a889d88;tdKWKpIt8Rr5u9bE4yhGz2Gx56JGBlKF447apQdEtLvRwEyb65/uWLpfjyvIm+CHr+t6oEgOfATcu5KHKC0uAA==;01/11/2025 08:02;821;Maple Bear São Paulo - Pacaembu II;RAFHAEL NAZEAZENO PEREIRA;Operando;Franquia;42893888000189;Rua Traipu;Pacaembu;01235000;São Paulo;SP;Sudeste;1150935543;ADM.PACAEMBU@MAPLEBEAR.COM.BR;ESCOLA CANADENSE BILINGUE PACAEMBU LTDA;ESCOLA CANADENSE BILINGUE PACAEMBU;Ativa;Agendado;🔴;Year 8;Avanço Year 09;Desenvolvimento;;3628,94;
961e7616-fb95-ee11-be37-000d3a889d88;KF/Adm8xJ91c+zl/yiadLtZH20XGjc1HEO4MWd8ZFhDbWa82RvkjtR9Ycm04dsvFCehT9b3MBmGMspAi9dDoTQ==;03/11/2025 18:16;748;Maple Bear Vitória - Bento Ferreira I;TATIANE BARBOSA DOS SANTOS XAVIER;Operando;Escola Própria;32815846000176;Avenida Carlos Moreira Lima;Bento Ferreira;29050653;Vitória;ES;Sudeste;2732072004;vitoria@maplebear.com.br;CANADIAN SCHOOL VITORIA LTDA;CANADIAN SCHOOL;Ativa;Concluído;🔴;Year 7;Avanço Year 08;Desenvolvimento;;4645,18;
cf1e7616-fb95-ee11-be37-000d3a889d88;Bxt6ywoudbMbznv+ET9uI8oXTAFpJ0JJQ/jBjJV+SSbDdne9qiIPZTPkRR5l3coP9vu66pp6s4gxZ5wdZspCmQ==;01/11/2025 08:02;733;Maple Bear Aracaju - Atalaia I;TATIANE BARBOSA DOS SANTOS XAVIER;Operando;Franquia;47880640000105;Praça Poeta Ascenso Ferreira;Atalaia;49036270;Aracaju;SE;Nordeste;7932137702;LAURO@IPIARAM.COM.BR;MENTES EDUCACIONAIS LTDA;MAPLE BEAR ATALAIA;Ativa;Concluído;🟢;Year 2;;Implantação;;;
eb1e7616-fb95-ee11-be37-000d3a889d88;upwcU0yzlG2jZ2hlE4c8ewOJMRIUwfDuKn7DE3NzKYVUnD/sxkmbISd/PAWDQGu8i4TBh4mSM76LV76uMWBbmw==;01/11/2025 08:02;28;Maple Bear Belo Horizonte - Santa Lúcia II;RAFHAEL NAZEAZENO PEREIRA;Operando;Franquia;09211234000152;Rua Doutor Armando Duarte;Santa Lucia;30360452;Belo Horizonte;MG;Sudeste;3132751111;FINANCEIRO@MAPLEBEARBH.COM.BR;NEED-NORTEAR EMPREENDIMENTOS EDUCACIONAIS LTDA;MAPLE BEAR;Ativa;Concluído;🔴;Year 11;Avanço Year 12;Desenvolvimento;;3398,76;
071f7616-fb95-ee11-be37-000d3a889d88;3IDPKMay9JkdhF4pAYTuRiKwornetyZtyMUeAeBGTSxC7J1nEejwHQz8XBpyvKO6l3sRnmM1yOfAUhm0c44npg==;01/11/2025 08:02;639;Maple Bear Brasilia - Águas Claras  Sul I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;46916502000168;Avenida Sibipiruna;Sul - Águas Claras;71928720;Brasília;DF;Centro-Oeste;6199987428;pamella.gomes@maplebear.com.br;MAPLE BEAR CANADIAN SCHOOL IN AGUAS CLARAS LTDA;MAPLE BEAR CANADIAN SCHOOL IN AGUAS CLARAS;Ativa;Agendado;🔴;Year 7;Avanço Year 08;Alerta;;1399,29;
231f7616-fb95-ee11-be37-000d3a889d88;rRh1fE5a30T6X8tFiBtHQAqCY4/4HuUToEBKK3wVuYgXDItaDUb517tn64l4hw6d4OmM0Wd0NrRjEmNND2Docg==;01/11/2025 08:02;290;Maple Bear Campinas - Hípica I;TATIANE BARBOSA DOS SANTOS XAVIER;Operando;Franquia;39566686000118;Rua Egberto Ferreira De Arruda Camargo;Parque Da Hípica;13092621;Campinas;SP;Sudeste;1932588392;contato.hipica@maplebear.com.br;ECCI - ESCOLA CANADENSE CAMPINAS INFANTIL LTDA;MAPLE BEAR CAMPINAS HIPICA;Ativa;Agendado;🟢;Year 6;Avanço Year 07;Desenvolvimento;;1816,57;
5b676e1c-fb95-ee11-be37-000d3a889d88;anVX+M0OlhsynFqUPHji3+fRFED0On+xS2MCd9laYaCg90DsP1B/R6HcDDWdqxt+WQMPLjkXBCrsyrrwtQafSA==;01/11/2025 08:02;87;Maple Bear Franca - Residencial Paraíso I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;31648583000195;Rua Dos Pracinhas;Residencial Paraíso;14403160;Franca;SP;Sudeste;1637045000;ligia.menezes@maplebear.com.br;Three Hills Escola De Ensino Bilingue Ltda. Me;;Ativa;Agendado;🔴;Year 3;Avanço Year 04;Alta Performance;;2077,83;
77676e1c-fb95-ee11-be37-000d3a889d88;jCE2AAdG0SnId0teK8U895UjHUZhE2kBLtY+xY0TLw+A3EyJfFwjOVbXSmVNbvkA3FOeyjXvnQUub+XhXdzZQw==;01/11/2025 08:02;91;Maple Bear Indaiatuba - Jardim Esplanada I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;15253299000163;Rua Armando Zanotello;Jardim Esplanada Ii;13331606;Indaiatuba;SP;Sudeste;1938345753;indaiatuba@maplebear.com.br;NDX ESCOLA DE EDUCACAO BILINGUE CANADENSE LTDA;MAPLE BEAR CANADIAN SCHOOL INDAIATUBA;Ativa;Concluído;🟢;Year 8;Avanço Year 09;Alta Performance;;2441,88;
93676e1c-fb95-ee11-be37-000d3a889d88;UV9t/E8PUVJ7WsY00Rrvybu974csjIhiPk5XqTXoCAP4S4l9FmzcRJ7rxPEG2bFMk5vVDV1DLp9WEDCRfRFYbg==;01/11/2025 08:02;757;Maple Bear João Pessoa - Altiplano I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;24948087000272;Rua Noberto de Castro Nogueira;Jardim Oceania;58037603;João Pessoa;PB;Nordeste;8330432421;PEPE.LUCIO@MAPLEBEAR.COM.BR;MBF EDUCACAO LTDA;;Ativa;Agendado;🔴;Year 1;Avanço Year 02;Potente;;2888,25;
ae676e1c-fb95-ee11-be37-000d3a889d88;PZwjXLdWUTMyOXmQnjNuSo5oOP1K7mh+8xnWzOWwYKZqoykKZAMA5LkXsE7l8xxoyqHZP/Hp0f/joaXUltpOWw==;01/11/2025 08:02;824;Maple Bear Manaus - Flores I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;31356119000125;Avenida Professor Nilton Lins;Flores;69058030;Manaus;AM;Norte;9236432078;atendimentomaplebear@nitlonlins.br;CENTRO DE ENSINO E TREINAMENTO BG LTDA;MAPLE BEAR MANAUS;Ativa;Agendado;🔴;Year 8;Avanço Year 09;Alerta;;2523,60;
e5676e1c-fb95-ee11-be37-000d3a889d88;x5S11oSWpANlNc/dLnkMVxqMxvaiuRkb/Ueptbu2CFOecRhm4TzHiEe5fu6rmM1+mF9wkJr73h9fF/jVkATS8A==;01/11/2025 08:03;775;Maple Bear Petrópolis - Itaipava I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;46496260000109;Estrada Jerônimo Ferreira Alves;Itaipava;25740040;Petrópolis;RJ;Sudeste;2422320024;CONTABILIDADE@AZULINCORPORACOES.COM.BR;AZUL CANADA INSTITUICOES DE ENSINO LTDA;MAPLE BEAR ITAIPAVA;Ativa;Concluído;🔴;Year 1;Avanço Year 02;Potente;;;
00686e1c-fb95-ee11-be37-000d3a889d88;uqX3mupC6aisTj0jOISChWgWRYGCWe/czXDEJFIOx/q7pu1hw/cS0JWzTDU/j/Xn5IpDkhNdWIXOt30Q4p/o1w==;03/11/2025 17:08;257;Maple Bear Santa Maria - Centro I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;35067572000172;Rodovia Br-158;Dom Antônio Reis;97065153;Santa Maria;RS;Sul;5591767948;santamaria@maplebear.com.br;ESCOLA CANADENSE DE EDUCACAO BILINGUE SANTA MARIA LTDA;RS SANTA MARIA - CENTRO I;Ativa;Concluído;🔴;Year 3;Avanço Year 04;Potente;;2270,23;
1c686e1c-fb95-ee11-be37-000d3a889d88;Gm4alvfEY7QZw6Xing5+yPlRFdykVCbn6kLbj61IKtIKIV4G53O2GmZ8A1J3qUqYyiixJlU/M02llV48KZa4ew==;23/09/2025 23:25;285;Maple Bear São Paulo - Alto De Pinheiros II;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;12460233000237;Avenida Imperatriz Leopoldina;Vila Leopoldina;05305007;São Paulo;SP;Sudeste;1130218664;altodepinheiros@maplebear.com.br;MANB EDUCACAO INFANTIL E FUNDAMENTAL LTDA;MAPLE BEAR ALTO DE PINHEIROS;Ativa;Aberto;🔴;Year 9;Avanço Year 09;Alerta;;3848,21;
38686e1c-fb95-ee11-be37-000d3a889d88;ju9RCi1VgQplsu9z8vj6sUyH/1Tp+MLzaqhagSodmi6ud0hWDHIon3e/7wA2akVXslJiSHdu5GVVluz83ojhdw==;04/11/2025 17:04;291;Maple Bear São Paulo - Freguesia Do Ó I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;42549330000180;Rua Manuel de Arzão;Vila Albertina;02730030;São Paulo;SP;Sudeste;1199437033;MAPLEFREGUESIAOWNER@GMAIL.COM;CENTRO EDUCACIONAL BILINGUE VIEIRA SANTTOS LTDA;MAPLE BEAR FREGUESIA DO O;Ativa;Concluído;🔴;Year 2;Avanço Year 03;Potente;;2609,15;
