(Não Modificar) Conta;(Não Modificar) Soma de Verificação da Linha;(Não Modificar) Data de Modificação;ID da Escola;Nome da Escola;Status da Escola;Cluster;Carteira SAF;CNPJ;Logradouro Escola;Bairro Escola;CEP Escola;Cidade da Escola;Estado da Escola;Região da Escola;Telefone de Contato da Escola;E-mail da Escola
753a3d42-4ef8-ee11-a1fe-002248df22f1;6JkffcD+JUSBXK+OVM5BpbFi7O7yfVE8xCrBrdFHDTbMfFEyAEqTfNnfMoJpWq7V5YmFEqIibtTfzq/iE7Tfeg==;08/09/2025 12:51;865;Maple Bear Teixeira De Freitas;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;57140696000179;EST FAZENDA RANCHO NOVO MEXICO;Área Rural de Teixeira de Freitas;45996899;Teixeira de Freitas;BA;Nordeste;1147525404;DIRETORIA@REDEMADEIRA.COM
773a3d42-4ef8-ee11-a1fe-002248df22f1;iVB/V2wU3GeUfY+YXfPYVIUdES9B2MflY52z+H/pJh2Mnb0qSZU1W64i7CYfc0/OJl0MdvLJt7zIonmqGGTdnw==;13/05/2025 18:22;848;Maple Bear Goiás - Mineiros;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;54776230000176;Avenida José Umbelino Pio;Setor Parque São José;75831098;Mineiros;GO;Centro-Oeste;6499891970;TELEYDORO@HOTMAIL.COM
c6e509cd-b588-f011-b4cb-6045bda6d179;no9Ld+unAmXQBmnIWXyaCUnOxJm1fCvUr466CdA69YHBvNE5D+W8rWL+sb9FEc6KcV7lElNIQBTRm2NF1cs5ZQ==;08/09/2025 12:51;;Maple Bear Minas Gerais - Betim;Implantando;;ANA PAULA OLIVEIRA DE ANDRADE;33908214000381;Rua Antônio Lemos Filho;Angola;32604224;Betim;MG;Sudeste;3198569766;DANIELLE@ACCOUNTASSESSORIA.COM.BR
97a4e45a-8c48-f011-877a-000d3a1b93fd;ZbKcEl47ISisA7JizcXpCRJJO8vlKBTovdSY9wW1lgvlZ+w1dC8EKV3CWE1F/IQDLJALKpsqd8sELuHJrboGdg==;01/09/2025 19:37;873;Maple Bear Rio de Janeiro - Campo Grande - Itaguaí;Operando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;54462771000200;Estrada do Mendanha;Campo Grande;23087285;Rio de Janeiro;RJ;Sudeste;2199836346;alramorim@yahoo.com.br
28a78cf8-0c96-ee11-be37-000d3a88970d;2w4hjY0jhwIN8YGVpSRjQPVc9qRe/CS6NG4hz9yCIJP4/IsJcgFrYP9k1wjCDuDxxdKW5CXV/dYoukM7NnNhgg==;27/08/2025 12:52;830;Maple Bear Goiânia - Marista II;Operando;Alta Performance;INGRID VANIA MAZZEI DE OLIVEIRA;23431641000104;Rua 1130;Setor Marista;74180090;Goiânia;GO;Centro-Oeste;6230861444;goiania@maplebear.com.br
27cf7d10-fb95-ee11-be37-000d3a889d88;/oF5BSnU3cbgajgVdcxj5MJuwKPyqTLkIY2S/IWCgS+ioJ2b7vSGSgkUbC75f0IPol0ER4zAADpBXNsaVRMmaQ==;01/09/2025 08:00;299;Maple Bear São Roque;Operando;Potente;Joao Felipe Gutierrez de Freitas;42386857000131;Avenida Varangüera;Jardim Boa Vista;18132340;São Roque;SP;Sudeste;1194228580;OLIVRAF@HOTMAIL.COM
7ed07d10-fb95-ee11-be37-000d3a889d88;axwLaDwp8hP0zhrg+3tZ2DmyYJcYG9uNGSM9Szo8zMhuYzTOQaFciRRsJ72yGbLMloIOPOoeWr81JnzmdLGQPA==;01/09/2025 08:00;707;Maple Bear Petrolina - Vila Eduardo I;Operando;Potente;Joao Felipe Gutierrez de Freitas;46838536000181;Avenida da Integração Airton Sena;Vila Eduardo;56328010;Petrolina;PE;Nordeste;8791659981;PETROLINA@MAPLEBEAR.COM.BR
12d17d10-fb95-ee11-be37-000d3a889d88;C/ZD+P0aeib4oiu7DKsaAMY2c80IVBAjGM1MyvUHzWsmiugN2gkrNBAiRB77z5lcqHu+tRcf3QwyjSIQ8quM6A==;01/09/2025 08:00;673;Maple Bear Primavera Do Leste;Operando;Potente;Joao Felipe Gutierrez de Freitas;48969520000133;Avenida das Nações;PARQUE INDUSTRIAL;78850000;Primavera do Leste;MT;Centro-Oeste;6634983031;clara.manfio@primavera.maplebear.com.br
6d1a7616-fb95-ee11-be37-000d3a889d88;ff4Dovg9dSGSNNCchN+M0M5Njwdx/DWALN73GBUN7rd1e+ULWdj+0oiVCMtuEW7r8w4+SsXbMyzBAgX1J8bg0w==;01/09/2025 08:00;663;Maple Bear São José Dos Pinhais;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;46812063000143;Rua Padre Bittencourt;Centro;83030490;São José dos Pinhais;PR;Sudeste;1391763752;A.LANDEIRO@TERRA.COM.BR
9c1b7616-fb95-ee11-be37-000d3a889d88;21x0kocGFFFrgcBQjvwE9/Ev8rAEGfP8krZJIqHoVP6BgASqCYy9B0I9FQxMZesqEYlo2+KDP14p9V0QrQNXTg==;01/09/2025 08:01;698;Maple Bear Guarapari - Muquiçaba;Operando;Desenvolvimento;TATIANE BARBOSA DOS SANTOS XAVIER;49738334000156;Avenida Governador Jones dos Santos Neves;Muquiçaba;29215002;Guarapari;ES;Sudeste;2730303566;GUARAPARI@MAPLEBEAR.COM.BR
3e1c7616-fb95-ee11-be37-000d3a889d88;c2O0rAI3lFpDGvXW3SyRwMy3AjvO50hX2BdOdOy5asyQl+d810+rFnu5pABWSnSwhw0IUuHFm2iEU3NAx2Zbug==;01/09/2025 08:01;295;Maple Bear Limeira - Bairro da Graminha;Operando;Alta Performance;INGRID VANIA MAZZEI DE OLIVEIRA;42106607000109;Via Guilherme Dibbern;Jardim Florença;13482217;Limeira;SP;Sudeste;1934464926;EMPRESAS@SIDCONTABIL.COM.BR
e11c7616-fb95-ee11-be37-000d3a889d88;h/6rz4imORhUGjUtYNT12rYSqiL944HBUZBBzvImhMutJu69EzmXxJijKpm/1DrAaFboms0owO8zBzBuGmEh6g==;01/09/2025 08:01;44;Maple Bear João Pessoa - Bessa I;Operando;Potente;Joao Felipe Gutierrez de Freitas;14341001000104;Rua Fernando Luiz Henriques Dos Santos;Bessa;58037051;João Pessoa;PB;Nordeste;8330432421;joaopessoa@maplebear.com.br
fe1c7616-fb95-ee11-be37-000d3a889d88;B+5q0/Z+qT/p9Y3aa5AxMcud6jA+teQwNiw0m/kLOzKjQmZB8ePbts8DXN9y9hduGjXMEbX90MaFTX01GASFkA==;30/06/2025 20:05;618;Maple Bear João Pessoa - Bessa II;Operando;Potente;Joao Felipe Gutierrez de Freitas;24948087000191;Rua Norberto De Castro Nogueira;Jardim Oceania;58037603;João Pessoa;PB;Nordeste;8332248910;joaopessoa@maplebear.com.br
1e1d7616-fb95-ee11-be37-000d3a889d88;gjWeVnO0otyF7bO2nk3w6pghK5DuLe6nWEDxnrsUyQUrPychqyOQRaB1qeyW/Y5EWhOp5PIvMnIHwJSbcjPcPA==;05/09/2025 13:59;716;Maple Bear Assis - Jardim Morumbi I;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;49342319000194;Rua Antonio Zimerman;Jardim Morumbi;19815560;Assis;SP;Sudeste;1833213290;M_CELIASANTOS@HOTMAIL.COM
571d7616-fb95-ee11-be37-000d3a889d88;7fH+j+TLMQbGyvxbxkUP6i9gnadV5MOY3IVTbC6AgjSAkbatdsk8fXT+EjIpZKnZ3djn3onDT7dfB5qb7hEfFw==;01/09/2025 08:01;272;Maple Bear Jaguariúna - Chácara Primavera I;Operando;Potente;Joao Felipe Gutierrez de Freitas;40408151000106;Praça Emílio Marconato;Chácara Primavera;13916140;Jaguariúna;SP;Sudeste;1938474444;TRADICAO@TRADICAONLINE.COM.BR
751d7616-fb95-ee11-be37-000d3a889d88;GYC7OU8JScnX6NABsje+xrc06JdVBp/VHqNyh3FADZhmBe0Wz9cxDr68fwVK+CR2WM2w6/ot0hkkQicQqxAkDg==;01/09/2025 08:01;6;Maple Bear Rio Branco - Aviário I;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;21497244000100;Rua Santa Inês;Aviário;69900878;Rio Branco;AC;Norte;6999613457;ANDRADEFABIO@OUTLOOK.COM
931d7616-fb95-ee11-be37-000d3a889d88;cThD72G6G2I0xztlbxI+WyHppSCiUmZj8BwbM9XbiFvzFjeGEfVcZOG8ibLGgWXhI5eYAuVjID8LTFDYWeRiGQ==;01/09/2025 08:01;821;Maple Bear São Paulo - Pacaembu II;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;42893888000189;Rua Traipu;Pacaembu;01235000;São Paulo;SP;Sudeste;1150935543;ADM.PACAEMBU@MAPLEBEAR.COM.BR
961e7616-fb95-ee11-be37-000d3a889d88;W4SqBHDN5zClnJ+Lq7k1z2kP4oqdJKRBZwOf2Dgs5lfTFPnXwriL17Hwh2w/uw9mGHPJm/Dt+AYaL4yB6MPMbQ==;01/09/2025 08:01;748;Maple Bear Vitória - Bento Ferreira I;Operando;Desenvolvimento;TATIANE BARBOSA DOS SANTOS XAVIER;32815846000176;Avenida Carlos Moreira Lima;Bento Ferreira;29050653;Vitória;ES;Sudeste;2732072004;vitoria@maplebear.com.br
cf1e7616-fb95-ee11-be37-000d3a889d88;uZSS5w9J1E04fkfKqjYpMFG9SAt7Bn7OWbmtAxRMbSjNIzPwFAUdN082byDeKdjseORtmbi6492evpooJqLJRQ==;01/09/2025 08:02;733;Maple Bear Aracaju - Atalaia I;Operando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;47880640000105;Praça Poeta Ascenso Ferreira;Atalaia;49036270;Aracaju;SE;Nordeste;7932137702;LAURO@IPIARAM.COM.BR
eb1e7616-fb95-ee11-be37-000d3a889d88;mgED8LiRjrkh9RjnLxZHQ2VmKZFa19E/NThk2wadDiL5ap5RNBJqntR8M4acGOll1ubH15J/u9MZyWtV64/V0g==;01/09/2025 08:02;28;Maple Bear Belo Horizonte - Santa Lúcia II;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;09211234000152;Rua Doutor Armando Duarte;Santa Lucia;30360452;Belo Horizonte;MG;Sudeste;3132751111;FINANCEIRO@MAPLEBEARBH.COM.BR
071f7616-fb95-ee11-be37-000d3a889d88;vkFwbpe/rRJtYoadcxj59CnkYQFiMSSjjsAWgjy9thiWH1fwMCpi0bLWgcwoD1uwvgzWNDtz9xzWXaHJR/5RkA==;05/09/2025 14:01;639;Maple Bear Brasilia - Águas Claras  Sul I;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;46916502000168;Avenida Sibipiruna;Sul - Águas Claras;71928720;Brasília;DF;Centro-Oeste;6199987428;pamella.gomes@maplebear.com.br
231f7616-fb95-ee11-be37-000d3a889d88;LkaqZKmZQiQJ7i+Kj9WwvJOQVkNSqTmPuGfGUPgkeU8l484tLHT6hVBfwqi/fX3jg43e4vzz6dVQ4Y3LXT5vkg==;01/09/2025 08:02;290;Maple Bear Campinas - Hípica I;Operando;Desenvolvimento;TATIANE BARBOSA DOS SANTOS XAVIER;39566686000118;Rua Egberto Ferreira De Arruda Camargo;Parque Da Hípica;13092621;Campinas;SP;Sudeste;1932588392;contato.hipica@maplebear.com.br
5b676e1c-fb95-ee11-be37-000d3a889d88;ECl+mlZagXS+waUpn/bVPkjiydT/W0MIpqUFqZOVdZJdHez+jVSeBtYCyryf4EMDtFShWL/qDDQQP/ixa3sClw==;01/09/2025 08:02;87;Maple Bear Franca - Residencial Paraíso I;Operando;Alta Performance;INGRID VANIA MAZZEI DE OLIVEIRA;31648583000195;Rua Dos Pracinhas;Residencial Paraíso;14403160;Franca;SP;Sudeste;1637045000;ligia.menezes@maplebear.com.br
77676e1c-fb95-ee11-be37-000d3a889d88;lWehknEGYWgli4ewvlTjrileTdOs3tk8Y5wSDJdZxE2E5sNebU6rpVlLDRYsHzDvmzkvpiz1cZjceAEpowhZlA==;01/09/2025 08:02;91;Maple Bear Indaiatuba - Jardim Esplanada I;Operando;Alta Performance;INGRID VANIA MAZZEI DE OLIVEIRA;15253299000163;Rua Armando Zanotello;Jardim Esplanada Ii;13331606;Indaiatuba;SP;Sudeste;1938345753;indaiatuba@maplebear.com.br
93676e1c-fb95-ee11-be37-000d3a889d88;RbexEpizq8pJZtqNS7wACv4ZPzue+Aq2GPtgDMLXAPQIrkolgLTSuY0RVYbxvori/nf9BDAj4uLDn3LopOBsSA==;01/09/2025 08:02;757;Maple Bear João Pessoa - Altiplano I;Operando;Potente;Joao Felipe Gutierrez de Freitas;24948087000272;Rua Noberto de Castro Nogueira;Jardim Oceania;58037603;João Pessoa;PB;Nordeste;8330432421;PEPE.LUCIO@MAPLEBEAR.COM.BR
ae676e1c-fb95-ee11-be37-000d3a889d88;vRFC/iieJLECDOkNb9RIHyZP2VoNVjcV5K23NTbmwHaR4bafP8SPJnvw4IRgQa+Hke9Sr6/7hw/BTcT9AtjGRg==;05/09/2025 14:01;824;Maple Bear Manaus - Flores I;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;31356119000125;Avenida Professor Nilton Lins;Flores;69058030;Manaus;AM;Norte;9236432078;atendimentomaplebear@nitlonlins.br
e5676e1c-fb95-ee11-be37-000d3a889d88;T5bgeUAXpq2lQXg3vGWVa6QMLm7ybYkH8wtV/iiqb7+ExrvtZ6Px/WnY4U38P0zSQYqhP2IO/B2BFnsYflJk3w==;01/09/2025 08:02;775;Maple Bear Petrópolis - Itaipava I;Operando;Potente;Joao Felipe Gutierrez de Freitas;46496260000109;Estrada Jerônimo Ferreira Alves;Itaipava;25740040;Petrópolis;RJ;Sudeste;2422320024;CONTABILIDADE@AZULINCORPORACOES.COM.BR
00686e1c-fb95-ee11-be37-000d3a889d88;UcXpMfbTAXmxydwSqzLcBwJh8QHej0R878hAddod9P5SN3TgePirJjTf/2RnSTuf3OKS4r2Uls30FyOgkU7z8A==;01/09/2025 08:02;257;Maple Bear Santa Maria - Centro I;Operando;Potente;Joao Felipe Gutierrez de Freitas;35067572000172;Rodovia Br-158;Dom Antônio Reis;97065153;Santa Maria;RS;Sul;5591767948;santamaria@maplebear.com.br
1c686e1c-fb95-ee11-be37-000d3a889d88;qtZ6my+Z3MZczfandLIHCWJjeHe4F6j2h02K/XBtqwZUFWdSgeUC8TVV53XICchaV20HQy+YAM9v0DXWYgeDTg==;10/07/2025 19:35;285;Maple Bear São Paulo - Alto De Pinheiros II;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;12460233000237;Avenida Imperatriz Leopoldina;Vila Leopoldina;05305007;São Paulo;SP;Sudeste;1130218664;altodepinheiros@maplebear.com.br
38686e1c-fb95-ee11-be37-000d3a889d88;3zA943Z5L4vAKvk6EMwn77fXzjGdmdNmznL3K6fQ+CXd5u+a2euTWu70YeBw6g4g/34UpOzkpl7wi5a7Yi1zEg==;08/09/2025 17:16;291;Maple Bear São Paulo - Freguesia Do Ó I;Operando;Potente;Joao Felipe Gutierrez de Freitas;42549330000180;Rua Manuel de Arzão;Vila Albertina;02730030;São Paulo;SP;Sudeste;1199437033;MAPLEFREGUESIAOWNER@GMAIL.COM
53686e1c-fb95-ee11-be37-000d3a889d88;cx98y9uzHCNGWT8y96JpDNOb2vdAY1tE50VzRLCDxQ95QQki/sNL359s9DKzVZq7489OBhw5USncGzwpcRhY0w==;16/09/2025 19:36;138;Maple Bear Sertãozinho - Centro I;Operando;Potente;Joao Felipe Gutierrez de Freitas;34198956000161;Rua Antonio Bianconi;Centro;14160810;Sertãozinho;SP;Sudeste;1639458220;sertaozinho@maplebear.com.br
6f686e1c-fb95-ee11-be37-000d3a889d88;yrKjKU2aQZvGOhJ+WRmtt0PaZXlASQqmmaxuVXLGqRUtft5ksby4eQ3XX1UPXZCZuHlaFU8LupmUQP5UOH/0aw==;01/09/2025 08:03;76;Maple Bear Aracaju - Treze De Julho I;Operando;Desenvolvimento;TATIANE BARBOSA DOS SANTOS XAVIER;11105217000182;R ALVARO BRITO;Treze De Julho;49020400;Aracaju;SE;Nordeste;7932137523;aracaju@maplebear.com.br
c2686e1c-fb95-ee11-be37-000d3a889d88;8v1XbbALySWDWHcG1Z9KN3jIM4IsvMPVYVmzaRyP5oDXVEoFYT7l4CBhx6dfLsqBd7cIwuOwGJz7sAJkBz4nIA==;01/09/2025 08:03;29;Maple Bear Contagem - Três Barras I;Operando;Potente;Joao Felipe Gutierrez de Freitas;33908214000110;Rua Natal Verones;Três Barras;32041090;Contagem;MG;Sudeste;3198569766;contagem@maplebear.com.br
de686e1c-fb95-ee11-be37-000d3a889d88;MtsIKlijknPaNJ2NSEksX3PgGTPaB6/WjRQZA5bw8H/12FsqfWOn7YOqTDT/A2nsJUfgKIN6da8fP50ujfdSLQ==;01/09/2025 08:03;151;Maple Bear Imperatriz - Três Poderes I;Operando;Potente;Joao Felipe Gutierrez de Freitas;12308379000180;Rua Dom Cesário;Três Poderes;65903083;Imperatriz;MA;Nordeste;9935824647;miriam.ribeiro@maplebear.com.br
fb686e1c-fb95-ee11-be37-000d3a889d88;vijZc6PtJp+/Um/lSdUfjXQswqT7sYShEM9tSP16uCxc1vVyzlBq70sY8cAUVJmgJVnSWbDeNjBvjtmuY7fMrQ==;12/09/2025 19:16;71;Maple Bear Porto Alegre - Iguatemi;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;15458345000160;Rua Doutor João Simplício Alves de Carvalho;Vila Ipiranga;91360260;Porto Alegre;RS;Sul;5132246687;admfin.portoalegre@maplebear.com.br
17696e1c-fb95-ee11-be37-000d3a889d88;I0ZiZWJRlJtecL2epSw641qxvDEWUuAnHREUIU6pJS1qVUgOEkLGc6WvA+8mwJlj88ypy12RXM2t03rq/lERIw==;02/09/2025 11:40;56;Maple Bear Rio De Janeiro - Barra Da Tijuca I;Operando;Potente;Joao Felipe Gutierrez de Freitas;12975982000116;Rua Martinho De Mesquita;Barra Da Tijuca;22620220;Rio De Janeiro;RJ;Sudeste;2134866466;barradatijuca@maplebear.com.br
33696e1c-fb95-ee11-be37-000d3a889d88;7ZT50sr2DVSzrmyOPAQrP671QpsOTcc7nJSc2RlYeinDmsAGYx9AgncpaQ+9cN5NXTtFr+uUDamr6zOkYUFAfg==;01/09/2025 08:03;255;Maple Bear Rio De Janeiro - Gávea I;Operando;Potente;Joao Felipe Gutierrez de Freitas;36671129000179;Rua Major Rúbens Vaz;Gávea;22470070;Rio De Janeiro;RJ;Sudeste;2135077493;secretaria.gavea@maplebear.com.br
51696e1c-fb95-ee11-be37-000d3a889d88;9JVfOdfdBRsyI336Cn4f5lZ7YY0Fi0pAoj/pUetLLc46rwaswTbJPb/ztu40MRlEtwe9evdNgUdgMFwS63Y+vg==;17/09/2025 09:21;60;Maple Bear Rio De Janeiro - Ilha Do Governador I;Operando;Potente;Joao Felipe Gutierrez de Freitas;22061254000152;Rua Orestes Barbosa;Jardim Guanabara;21940375;Rio De Janeiro;RJ;Sudeste;2138273737;ilha@maplebear.com,br
6f696e1c-fb95-ee11-be37-000d3a889d88;5HGOk5km8Ls6vR8lITEITjRNIxlTfYWT9MHqBvO7Xt7UmfMVV6yGuId54QWpp9ZG0M/KheLlW1ar97gdst6+uw==;01/09/2025 08:03;63;Maple Bear Rio De Janeiro - Vila Valqueire I;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;33486589000139;Avenida Jambeiro;Vila Valqueire;21330300;Rio De Janeiro;RJ;Sudeste;2130423966;valqueire@maplebear.com.br
8b696e1c-fb95-ee11-be37-000d3a889d88;tBgnIdmvw2eU2Afe85xRhET0MInXBi8ZIAjn2p53qaN12TT3xNqAl4RdpYoWJmkYWnUvZcCIFe7y6ARYWBYJCw==;01/09/2025 08:03;108;Maple Bear Santo André - Campestre I;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;17405513000185;Rua Jaguará;Campestre;09070590;Santo André;SP;Sudeste;1144216446;santoandre@maplebear.com.br
a7696e1c-fb95-ee11-be37-000d3a889d88;jEu0GpNTAyAYTaZ27oj2j5YW06aBkZKsAkWIbjmuvvyTrYM46PJwv1KIvTA/bw5Lqc+WfZ/oUNS4HMDqO2GiKQ==;01/09/2025 08:04;651;Maple Bear São Carlos I;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;46365692000172;Avenida Brasilino Damha;Condomínio Village São Carlos Iv;13565440;São Carlos;SP;Sudeste;1138331400;alexandre.acaldighieri@maplebear.com.br
c3696e1c-fb95-ee11-be37-000d3a889d88;CLflf96AIgS4gsFj4R1R603zTBBTUEw+xHxqQ+u/BS10M9MYYRtzPDuQJD6WuIHOJljoZwC2cxv603AJZ/SdDg==;01/09/2025 08:04;122;Maple Bear São Paulo - Jardins I ;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;36195301000165;Rua Doutor Fláquer;Paraíso;04006010;São Paulo;SP;Sudeste;1146373232;jardins@maplebear.com.br
fc696e1c-fb95-ee11-be37-000d3a889d88;tGJbqt50XsjMDje+IImdCwdAjSMP6Xq/vxhLmnuplvgxjE3uZ6Ex6l5w2hb+Cd7POQUF/VsHUcQ8BmGDljzPNw==;01/09/2025 08:04;65;Maple Bear Teresópolis - Bom Retiro I;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;33524776000160;Rua Tenente Luiz Meirelles;Bom Retiro;25954000;Teresópolis;RJ;Sudeste;2127424000;teresopolis@maplebear.com.br
186a6e1c-fb95-ee11-be37-000d3a889d88;4UpVQWB51bwSj21IxGy75+1wvZNsQh7KSgnHALBVvr9e2I7lPj6TApoXuByHati2U/jJb9j0EarD4kC8kcbdDA==;01/09/2025 08:04;144;Maple Bear Vinhedo - Bosque I;Operando;Potente;Joao Felipe Gutierrez de Freitas;26273070000107;Alameda Itatinga;Joapiranga;13278480;Valinhos;SP;Sudeste;1938692566;contato@maplebearvinhedo.com.br
346a6e1c-fb95-ee11-be37-000d3a889d88;vSMjrYPegPwHkULRh5hCBFBWjzwEXOUfhPLNbt3atTH0K5H4TPl3HGHQk97qLnhg5F804Ck/tgYBATumRgswXw==;01/09/2025 08:04;82;Maple Bear Bauru - Vila Aviação I;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;26346959000177;Rua Severino Lins;Vila Aviação;17018600;Bauru;SP;Sudeste;1491237635;bauru@maplebear.com.br
