ID da Escola;Nome da Escola;Carteira SAF;Status da Escola;Tipo de Escola;CNPJ;Logradouro Escola;Bairro Escola;CEP Escola;Cidade da Escola;Estado da Escola;Região da Escola;Telefone de Contato da Escola;E-mail da Escola;Razão Social;Nome Fantasia;Status CNPJ;Status Visita Liderança;Performance da Meta;Atual Série;Avançando de Segmento;Cluster;Ticket Médio;Toddle;Status da Escola (Repo);Cluster (Repo);Carteira SAF (Repo);CNPJ (Repo);Logradouro Escola (Repo);Bairro Escola (Repo);CEP Escola (Repo);Cidade da Escola (Repo);Estado da Escola (Repo);Região da Escola (Repo);Telefone de Contato da Escola (Repo);E-mail da Escola (Repo)
865.0;Maple Bear Teixeira De Freitas;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;571406960001790;EST FAZENDA RANCHO NOVO MEXICO;Área Rural de Teixeira de Freitas;45996899.0;Teixeira de Freitas;BA;Nordeste;1147525404.0;DIRETORIA@REDEMADEIRA.COM;ESCOLA CANADENSE DE TEIXEIRA DE FREITAS LTDA;;Ativa;Concluído;;;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;57140696000179.0;EST FAZENDA RANCHO NOVO MEXICO;Área Rural de Teixeira de Freitas;45996899.0;Teixeira de Freitas;BA;Nordeste;1147525404.0;DIRETORIA@REDEMADEIRA.COM
848.0;Maple Bear Goiás - Mineiros;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;547762300001760;Avenida José Umbelino Pio;Setor Parque São José;75831098.0;Mineiros;GO;Centro-Oeste;6499891970.0;TELEYDORO@HOTMAIL.COM;ESCOLA CANADENSE DE MINEIROS LTDA;MAPLE BEAR MINEIROS;Ativa;Concluído;;;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;54776230000176.0;Avenida José Umbelino Pio;Setor Parque São José;75831098.0;Mineiros;GO;Centro-Oeste;6499891970.0;TELEYDORO@HOTMAIL.COM
879.0;Maple Bear Araruama - Pontinha;ANA PAULA OLIVEIRA DE ANDRADE;Implantando;Franquia;433499610001190;Rua Medeia da Mota;Pontinha;28982020.0;Araruama;RJ;Sudeste;2288014165.0;maplebearararuama@gmail.com;ALL INN EDUCATION LTDA;;Ativa;Agendado;;;;Implantação;;;;;;;;;;;;;;
878.0;Maple Bear Minas Gerais - Betim;ANA PAULA OLIVEIRA DE ANDRADE;Implantando;Franquia;339082140003810;Rua Antônio Lemos Filho;Angola;32604224.0;Betim;MG;Sudeste;3198569766.0;DANIELLE@ACCOUNTASSESSORIA.COM.BR;FARJ EDUCAÇÃO LTDA;MAPLE BEAR BETIM;Ativa;;🔴;;;Implantação;;;;;;;;;;;;;;
873.0;Maple Bear Rio de Janeiro - Campo Grande - Itaguaí;TATIANE BARBOSA DOS SANTOS XAVIER;Operando;Franquia;544627710002000;Estrada do Mendanha;Campo Grande;23087285.0;Rio de Janeiro;RJ;Sudeste;2199836346.0;alramorim@yahoo.com.br;VANCOUVER MULTI PARTICIPACOES LTDA;MAPLE BEAR CANADIAN SCHOOL - ESCOLA CANADENSE CG;Ativa;Agendado;🔴;;;Implantação;;;Operando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;54462771000200.0;Estrada do Mendanha;Campo Grande;23087285.0;Rio de Janeiro;RJ;Sudeste;2199836346.0;alramorim@yahoo.com.br
830.0;Maple Bear Goiânia - Marista II;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;234316410001040;Rua 1130;Setor Marista;74180090.0;Goiânia;GO;Centro-Oeste;6230861444.0;goiania@maplebear.com.br;ESCOLA CANADENSE MARISTA DE GOIANIA LTDA;MAPLE BEAR;Ativa;Agendado;🟢;;Não avança;Alta Performance;;;Operando;Alta Performance;INGRID VANIA MAZZEI DE OLIVEIRA;23431641000104.0;Rua 1130;Setor Marista;74180090.0;Goiânia;GO;Centro-Oeste;6230861444.0;goiania@maplebear.com.br
299.0;Maple Bear São Roque;Joao Felipe Gutierrez de Freitas;Operando;Franquia;423868570001310;Avenida Varangüera;Jardim Boa Vista;18132340.0;São Roque;SP;Sudeste;1194228580.0;OLIVRAF@HOTMAIL.COM;OURS ESCOLA BILINGUE LTDA;MAPLE BEAR SAO ROQUE;Ativa;Concluído;🔴;Year 4;Avanço Year 05;Potente;2670,25;;Operando;Potente;Joao Felipe Gutierrez de Freitas;42386857000131.0;Avenida Varangüera;Jardim Boa Vista;18132340.0;São Roque;SP;Sudeste;1194228580.0;OLIVRAF@HOTMAIL.COM
707.0;Maple Bear Petrolina - Vila Eduardo I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;468385360001810;Avenida da Integração Airton Sena;Vila Eduardo;56328010.0;Petrolina;PE;Nordeste;8791659981.0;PETROLINA@MAPLEBEAR.COM.BR;MAPLE BEAR PETROLINA CENTRO EDUCACIONAL LTDA;PE - Petrolina - Vila Eduardo;Ativa;Concluído;🔴;Year 3;Avanço Year 04;Potente;2170,94;;Operando;Potente;Joao Felipe Gutierrez de Freitas;46838536000181.0;Avenida da Integração Airton Sena;Vila Eduardo;56328010.0;Petrolina;PE;Nordeste;8791659981.0;PETROLINA@MAPLEBEAR.COM.BR
673.0;Maple Bear Primavera Do Leste;Joao Felipe Gutierrez de Freitas;Operando;Franquia;489695200001330;Avenida das Nações;PARQUE INDUSTRIAL;78850000.0;Primavera do Leste;MT;Centro-Oeste;6634983031.0;clara.manfio@primavera.maplebear.com.br;ESCOLA CANADENSE DE PRIMAVERA DO LESTE LTDA;MT PRIMAVERA DO LESTE;Ativa;Concluído;🔴;SK;Avanço Year 01;Potente;2500,00;;Operando;Potente;Joao Felipe Gutierrez de Freitas;48969520000133.0;Avenida das Nações;PARQUE INDUSTRIAL;78850000.0;Primavera do Leste;MT;Centro-Oeste;6634983031.0;clara.manfio@primavera.maplebear.com.br
663.0;Maple Bear São José Dos Pinhais;RAFHAEL NAZEAZENO PEREIRA;Operando;Franquia;468120630001430;Rua Padre Bittencourt;Centro;83030490.0;São José dos Pinhais;PR;Sudeste;1391763752.0;A.LANDEIRO@TERRA.COM.BR;ESCOLA CANADENSE SJP LTDA;MAPLE BEAR SJP;Ativa;Agendado;🔴;SK;Avanço Year 02;Desenvolvimento;1967,60;;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;46812063000143.0;Rua Padre Bittencourt;Centro;83030490.0;São José dos Pinhais;PR;Sudeste;1391763752.0;A.LANDEIRO@TERRA.COM.BR
698.0;Maple Bear Guarapari - Muquiçaba;TATIANE BARBOSA DOS SANTOS XAVIER;Operando;Franquia;497383340001560;Avenida Governador Jones dos Santos Neves;Muquiçaba;29215002.0;Guarapari;ES;Sudeste;2730303566.0;GUARAPARI@MAPLEBEAR.COM.BR;W SCHOOL LTDA;ESCOLA MAPLEBEAR CANADIAN SCHOOL - GUARAPARI;Ativa;Concluído;🔴;Year 4;Avanço Year 05;Desenvolvimento;1890,00;;Operando;Desenvolvimento;TATIANE BARBOSA DOS SANTOS XAVIER;49738334000156.0;Avenida Governador Jones dos Santos Neves;Muquiçaba;29215002.0;Guarapari;ES;Sudeste;2730303566.0;GUARAPARI@MAPLEBEAR.COM.BR
295.0;Maple Bear Limeira - Bairro da Graminha;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;421066070001090;Via Guilherme Dibbern;Jardim Florença;13482217.0;Limeira;SP;Sudeste;1934464926.0;EMPRESAS@SIDCONTABIL.COM.BR;MB LIMEIRA EDUCACAO INFANTIL LTDA;MAPLE BEAR LIMEIRA;Ativa;Agendado;🔴;Year 2;Avanço Year 03;Alta Performance;2791,87;;Operando;Alta Performance;INGRID VANIA MAZZEI DE OLIVEIRA;42106607000109.0;Via Guilherme Dibbern;Jardim Florença;13482217.0;Limeira;SP;Sudeste;1934464926.0;EMPRESAS@SIDCONTABIL.COM.BR
44.0;Maple Bear João Pessoa - Bessa I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;143410010001040;Rua Fernando Luiz Henriques Dos Santos;Bessa;58037051.0;João Pessoa;PB;Nordeste;8330432421.0;joaopessoa@maplebear.com.br;MB EDUCACAO LTDA;MAPLE BEAR JOAO PESSOA;Ativa;Agendado;🔴;;Não avança;Potente;2879,95;;Operando;Potente;Joao Felipe Gutierrez de Freitas;14341001000104.0;Rua Fernando Luiz Henriques Dos Santos;Bessa;58037051.0;João Pessoa;PB;Nordeste;8330432421.0;joaopessoa@maplebear.com.br
618.0;Maple Bear João Pessoa - Bessa II;Joao Felipe Gutierrez de Freitas;Operando;Franquia;249480870001910;Rua Norberto De Castro Nogueira;Jardim Oceania;58037603.0;João Pessoa;PB;Nordeste;8332248910.0;joaopessoa@maplebear.com.br;MBF EDUCACAO LTDA;MAPLE BEAR JOAO PESSOA - FUNDAMENTAL;Ativa;Agendado;🔴;Year 10;Avanço Year 11;Potente;3079,87;;Operando;Potente;Joao Felipe Gutierrez de Freitas;24948087000191.0;Rua Norberto De Castro Nogueira;Jardim Oceania;58037603.0;João Pessoa;PB;Nordeste;8332248910.0;joaopessoa@maplebear.com.br
716.0;Maple Bear Assis - Jardim Morumbi I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;493423190001940;Rua Antonio Zimerman;Jardim Morumbi;19815560.0;Assis;SP;Sudeste;1833213290.0;M_CELIASANTOS@HOTMAIL.COM;M C DOS SANTOS ENSINO INTERNACIONAL LTDA;;Ativa;Agendado;🔴;Year 5;Avanço Year 06;Alerta;1725,00;;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;49342319000194.0;Rua Antonio Zimerman;Jardim Morumbi;19815560.0;Assis;SP;Sudeste;1833213290.0;M_CELIASANTOS@HOTMAIL.COM
272.0;Maple Bear Jaguariúna - Chácara Primavera I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;404081510001060;Praça Emílio Marconato;Chácara Primavera;13916140.0;Jaguariúna;SP;Sudeste;1938474444.0;TRADICAO@TRADICAONLINE.COM.BR;ESCOLA CANADENSE DE JAGUARIUNA LTDA;MAPLE BEAR JAGUARIUNA;Ativa;Concluído;🔴;Year 1;Avanço Year 02;Potente;1980,00;;Operando;Potente;Joao Felipe Gutierrez de Freitas;40408151000106.0;Praça Emílio Marconato;Chácara Primavera;13916140.0;Jaguariúna;SP;Sudeste;1938474444.0;TRADICAO@TRADICAONLINE.COM.BR
6.0;Maple Bear Rio Branco - Aviário I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;214972440001000;Rua Santa Inês;Aviário;69900878.0;Rio Branco;AC;Norte;6999613457.0;ANDRADEFABIO@OUTLOOK.COM;ANDRADE & HASSEM LTDA;MAPLE BEAR RIO BRANCO;Ativa;Agendado;🔴;Year 9;Avanço Year 09;Alerta;2178,04;;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;21497244000100.0;Rua Santa Inês;Aviário;69900878.0;Rio Branco;AC;Norte;6999613457.0;ANDRADEFABIO@OUTLOOK.COM
821.0;Maple Bear São Paulo - Pacaembu II;RAFHAEL NAZEAZENO PEREIRA;Operando;Franquia;428938880001890;Rua Traipu;Pacaembu;1235000.0;São Paulo;SP;Sudeste;1150935543.0;ADM.PACAEMBU@MAPLEBEAR.COM.BR;ESCOLA CANADENSE BILINGUE PACAEMBU LTDA;ESCOLA CANADENSE BILINGUE PACAEMBU;Ativa;Agendado;🔴;Year 8;Avanço Year 09;Desenvolvimento;3628,94;;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;42893888000189.0;Rua Traipu;Pacaembu;1235000.0;São Paulo;SP;Sudeste;1150935543.0;ADM.PACAEMBU@MAPLEBEAR.COM.BR
748.0;Maple Bear Vitória - Bento Ferreira I;TATIANE BARBOSA DOS SANTOS XAVIER;Operando;Escola Própria;328158460001760;Avenida Carlos Moreira Lima;Bento Ferreira;29050653.0;Vitória;ES;Sudeste;2732072004.0;vitoria@maplebear.com.br;CANADIAN SCHOOL VITORIA LTDA;CANADIAN SCHOOL;Ativa;Concluído;🔴;Year 7;Avanço Year 08;Desenvolvimento;4645,18;;Operando;Desenvolvimento;TATIANE BARBOSA DOS SANTOS XAVIER;32815846000176.0;Avenida Carlos Moreira Lima;Bento Ferreira;29050653.0;Vitória;ES;Sudeste;2732072004.0;vitoria@maplebear.com.br
733.0;Maple Bear Aracaju - Atalaia I;TATIANE BARBOSA DOS SANTOS XAVIER;Operando;Franquia;478806400001050;Praça Poeta Ascenso Ferreira;Atalaia;49036270.0;Aracaju;SE;Nordeste;7932137702.0;LAURO@IPIARAM.COM.BR;MENTES EDUCACIONAIS LTDA;MAPLE BEAR ATALAIA;Ativa;Concluído;🟢;Year 2;;Implantação;;;Operando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;47880640000105.0;Praça Poeta Ascenso Ferreira;Atalaia;49036270.0;Aracaju;SE;Nordeste;7932137702.0;LAURO@IPIARAM.COM.BR
28.0;Maple Bear Belo Horizonte - Santa Lúcia II;RAFHAEL NAZEAZENO PEREIRA;Operando;Franquia;92112340001520;Rua Doutor Armando Duarte;Santa Lucia;30360452.0;Belo Horizonte;MG;Sudeste;3132751111.0;FINANCEIRO@MAPLEBEARBH.COM.BR;NEED-NORTEAR EMPREENDIMENTOS EDUCACIONAIS LTDA;MAPLE BEAR;Ativa;Concluído;🔴;Year 11;Avanço Year 12;Desenvolvimento;3398,76;;Operando;Desenvolvimento;RAFHAEL NAZEAZENO PEREIRA;9211234000152.0;Rua Doutor Armando Duarte;Santa Lucia;30360452.0;Belo Horizonte;MG;Sudeste;3132751111.0;FINANCEIRO@MAPLEBEARBH.COM.BR
639.0;Maple Bear Brasilia - Águas Claras  Sul I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;469165020001680;Avenida Sibipiruna;Sul - Águas Claras;71928720.0;Brasília;DF;Centro-Oeste;6199987428.0;pamella.gomes@maplebear.com.br;MAPLE BEAR CANADIAN SCHOOL IN AGUAS CLARAS LTDA;MAPLE BEAR CANADIAN SCHOOL IN AGUAS CLARAS;Ativa;Agendado;🔴;Year 7;Avanço Year 08;Alerta;1399,29;;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;46916502000168.0;Avenida Sibipiruna;Sul - Águas Claras;71928720.0;Brasília;DF;Centro-Oeste;6199987428.0;pamella.gomes@maplebear.com.br
290.0;Maple Bear Campinas - Hípica I;TATIANE BARBOSA DOS SANTOS XAVIER;Operando;Franquia;395666860001180;Rua Egberto Ferreira De Arruda Camargo;Parque Da Hípica;13092621.0;Campinas;SP;Sudeste;1932588392.0;contato.hipica@maplebear.com.br;ECCI - ESCOLA CANADENSE CAMPINAS INFANTIL LTDA;MAPLE BEAR CAMPINAS HIPICA;Ativa;Agendado;🟢;Year 6;Avanço Year 07;Desenvolvimento;1816,57;;Operando;Desenvolvimento;TATIANE BARBOSA DOS SANTOS XAVIER;39566686000118.0;Rua Egberto Ferreira De Arruda Camargo;Parque Da Hípica;13092621.0;Campinas;SP;Sudeste;1932588392.0;contato.hipica@maplebear.com.br
87.0;Maple Bear Franca - Residencial Paraíso I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;316485830001950;Rua Dos Pracinhas;Residencial Paraíso;14403160.0;Franca;SP;Sudeste;1637045000.0;ligia.menezes@maplebear.com.br;Three Hills Escola De Ensino Bilingue Ltda. Me;;Ativa;Agendado;🔴;Year 3;Avanço Year 04;Alta Performance;2077,83;;Operando;Alta Performance;INGRID VANIA MAZZEI DE OLIVEIRA;31648583000195.0;Rua Dos Pracinhas;Residencial Paraíso;14403160.0;Franca;SP;Sudeste;1637045000.0;ligia.menezes@maplebear.com.br
91.0;Maple Bear Indaiatuba - Jardim Esplanada I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;152532990001630;Rua Armando Zanotello;Jardim Esplanada Ii;13331606.0;Indaiatuba;SP;Sudeste;1938345753.0;indaiatuba@maplebear.com.br;NDX ESCOLA DE EDUCACAO BILINGUE CANADENSE LTDA;MAPLE BEAR CANADIAN SCHOOL INDAIATUBA;Ativa;Concluído;🟢;Year 8;Avanço Year 09;Alta Performance;2441,88;;Operando;Alta Performance;INGRID VANIA MAZZEI DE OLIVEIRA;15253299000163.0;Rua Armando Zanotello;Jardim Esplanada Ii;13331606.0;Indaiatuba;SP;Sudeste;1938345753.0;indaiatuba@maplebear.com.br
757.0;Maple Bear João Pessoa - Altiplano I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;249480870002720;Rua Noberto de Castro Nogueira;Jardim Oceania;58037603.0;João Pessoa;PB;Nordeste;8330432421.0;PEPE.LUCIO@MAPLEBEAR.COM.BR;MBF EDUCACAO LTDA;;Ativa;Agendado;🔴;Year 1;Avanço Year 02;Potente;2888,25;;Operando;Potente;Joao Felipe Gutierrez de Freitas;24948087000272.0;Rua Noberto de Castro Nogueira;Jardim Oceania;58037603.0;João Pessoa;PB;Nordeste;8330432421.0;PEPE.LUCIO@MAPLEBEAR.COM.BR
824.0;Maple Bear Manaus - Flores I;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;313561190001250;Avenida Professor Nilton Lins;Flores;69058030.0;Manaus;AM;Norte;9236432078.0;atendimentomaplebear@nitlonlins.br;CENTRO DE ENSINO E TREINAMENTO BG LTDA;MAPLE BEAR MANAUS;Ativa;Agendado;🔴;Year 8;Avanço Year 09;Alerta;2523,60;;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;31356119000125.0;Avenida Professor Nilton Lins;Flores;69058030.0;Manaus;AM;Norte;9236432078.0;atendimentomaplebear@nitlonlins.br
775.0;Maple Bear Petrópolis - Itaipava I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;464962600001090;Estrada Jerônimo Ferreira Alves;Itaipava;25740040.0;Petrópolis;RJ;Sudeste;2422320024.0;CONTABILIDADE@AZULINCORPORACOES.COM.BR;AZUL CANADA INSTITUICOES DE ENSINO LTDA;MAPLE BEAR ITAIPAVA;Ativa;Concluído;🔴;Year 1;Avanço Year 02;Potente;;;Operando;Potente;Joao Felipe Gutierrez de Freitas;46496260000109.0;Estrada Jerônimo Ferreira Alves;Itaipava;25740040.0;Petrópolis;RJ;Sudeste;2422320024.0;CONTABILIDADE@AZULINCORPORACOES.COM.BR
257.0;Maple Bear Santa Maria - Centro I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;350675720001720;Rodovia Br-158;Dom Antônio Reis;97065153.0;Santa Maria;RS;Sul;5591767948.0;santamaria@maplebear.com.br;ESCOLA CANADENSE DE EDUCACAO BILINGUE SANTA MARIA LTDA;RS SANTA MARIA - CENTRO I;Ativa;Concluído;🔴;Year 3;Avanço Year 04;Potente;2270,23;;Operando;Potente;Joao Felipe Gutierrez de Freitas;35067572000172.0;Rodovia Br-158;Dom Antônio Reis;97065153.0;Santa Maria;RS;Sul;5591767948.0;santamaria@maplebear.com.br
285.0;Maple Bear São Paulo - Alto De Pinheiros II;INGRID VANIA MAZZEI DE OLIVEIRA;Operando;Franquia;124602330002370;Avenida Imperatriz Leopoldina;Vila Leopoldina;5305007.0;São Paulo;SP;Sudeste;1130218664.0;altodepinheiros@maplebear.com.br;MANB EDUCACAO INFANTIL E FUNDAMENTAL LTDA;MAPLE BEAR ALTO DE PINHEIROS;Ativa;Aberto;🔴;Year 9;Avanço Year 09;Alerta;3848,21;;Operando;Alerta;INGRID VANIA MAZZEI DE OLIVEIRA;12460233000237.0;Avenida Imperatriz Leopoldina;Vila Leopoldina;5305007.0;São Paulo;SP;Sudeste;1130218664.0;altodepinheiros@maplebear.com.br
291.0;Maple Bear São Paulo - Freguesia Do Ó I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;425493300001800;Rua Manuel de Arzão;Vila Albertina;2730030.0;São Paulo;SP;Sudeste;1199437033.0;MAPLEFREGUESIAOWNER@GMAIL.COM;CENTRO EDUCACIONAL BILINGUE VIEIRA SANTTOS LTDA;MAPLE BEAR FREGUESIA DO O;Ativa;Concluído;🔴;Year 2;Avanço Year 03;Potente;2609,15;;Operando;Potente;Joao Felipe Gutierrez de Freitas;42549330000180.0;Rua Manuel de Arzão;Vila Albertina;2730030.0;São Paulo;SP;Sudeste;1199437033.0;MAPLEFREGUESIAOWNER@GMAIL.COM
138.0;Maple Bear Sertãozinho - Centro I;Joao Felipe Gutierrez de Freitas;Operando;Franquia;341989560001610;Rua Antonio Bianconi;Centro;14160810.0;Sertãozinho;SP;Sudeste;1639458220.0;sertaozinho@maplebear.com.br;HALIFAX SISTEMA DE ENSINO CANADENSE LTDA;HALIFAX;Ativa;Concluído;🔴;Year 4;Avanço Year 05;Potente;1896,82;;Operando;Potente;Joao Felipe Gutierrez de Freitas;34198956000161.0;Rua Antonio Bianconi;Centro;14160810.0;Sertãozinho;SP;Sudeste;1639458220.0;sertaozinho@maplebear.com.br
